platform,contest_name,start_date,duration_min
LeetCode,Weekly Contest 503,2026-05-24 08:00:00,90.0
LeetCode,Biweekly Contest 183,2026-05-23 20:00:00,90.0
LeetCode,Weekly Contest 502,2026-05-17 08:00:00,90.0
LeetCode,Weekly Contest 501,2026-05-10 08:00:00,90.0
LeetCode,Biweekly Contest 182,2026-05-09 20:00:00,90.0
LeetCode,Weekly Contest 500,2026-05-03 08:00:00,90.0
LeetCode,Weekly Contest 499,2026-04-26 08:00:00,90.0
LeetCode,Biweekly Contest 181,2026-04-25 20:00:00,90.0
LeetCode,Weekly Contest 498,2026-04-19 08:00:00,90.0
LeetCode,Weekly Contest 497,2026-04-12 08:00:00,90.0
LeetCode,Biweekly Contest 180,2026-04-11 20:00:00,90.0
LeetCode,Weekly Contest 496,2026-04-05 08:00:00,90.0
LeetCode,Weekly Contest 495,2026-03-29 08:00:00,90.0
LeetCode,Biweekly Contest 179,2026-03-28 20:00:00,90.0
LeetCode,Weekly Contest 494,2026-03-22 08:00:00,90.0
LeetCode,Weekly Contest 493,2026-03-15 08:00:00,90.0
LeetCode,Biweekly Contest 178,2026-03-14 20:00:00,90.0
LeetCode,Weekly Contest 492,2026-03-08 08:00:00,90.0
LeetCode,Weekly Contest 491,2026-03-01 08:00:00,90.0
LeetCode,Biweekly Contest 177,2026-02-28 20:00:00,90.0
LeetCode,Weekly Contest 490,2026-02-22 08:00:00,90.0
LeetCode,Weekly Contest 489,2026-02-15 08:00:00,90.0
LeetCode,Biweekly Contest 176,2026-02-14 20:00:00,90.0
LeetCode,Weekly Contest 488,2026-02-08 08:00:00,90.0
LeetCode,Weekly Contest 487,2026-02-01 08:00:00,90.0
LeetCode,Biweekly Contest 175,2026-01-31 20:00:00,90.0
LeetCode,Weekly Contest 486,2026-01-25 08:00:00,90.0
LeetCode,Weekly Contest 485,2026-01-18 08:00:00,90.0
LeetCode,Biweekly Contest 174,2026-01-17 20:00:00,90.0
LeetCode,Weekly Contest 484,2026-01-11 08:00:00,90.0
LeetCode,Weekly Contest 483,2026-01-04 08:00:00,140.0
LeetCode,Biweekly Contest 173,2026-01-03 20:00:00,90.0
LeetCode,Weekly Contest 482,2025-12-28 08:00:00,90.0
LeetCode,Weekly Contest 481,2025-12-21 08:00:00,90.0
LeetCode,Biweekly Contest 172,2025-12-20 20:00:00,90.0
LeetCode,Weekly Contest 480,2025-12-14 08:00:00,90.0
LeetCode,Weekly Contest 479,2025-12-07 08:00:00,90.0
LeetCode,Biweekly Contest 171,2025-12-06 20:00:00,90.0
LeetCode,Weekly Contest 478,2025-11-30 08:00:00,90.0
LeetCode,Weekly Contest 477,2025-11-23 08:00:00,90.0
LeetCode,Biweekly Contest 170,2025-11-22 20:00:00,90.0
LeetCode,Weekly Contest 476,2025-11-16 08:00:00,90.0
LeetCode,Weekly Contest 475,2025-11-09 08:00:00,90.0
LeetCode,Biweekly Contest 169,2025-11-08 20:00:00,90.0
LeetCode,Weekly Contest 474,2025-11-02 08:00:00,90.0
LeetCode,Weekly Contest 473,2025-10-26 08:00:00,90.0
